estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
2,https://www.fincaraiz.com.co/apartamento-en-arriendo/10964837,apartamento,1,1,45.0,680000,1 a 8 años,popayan,cauca,2.43339672258972,-76.6183890977286
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191117563,apartaestudio,1,1,58.0,1500000,1 a 8 años,popayan,cauca,2.4567618,-76.5968528
5,https://www.fincaraiz.com.co/oficina-en-arriendo/10951315,oficina,1,1,90.0,4475000,1 a 8 años,popayan,cauca,2.45889490673295,-76.5943622589111
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191347232,apartamento,2,3,60.0,1200000,1 a 8 años,popayan,cauca,2.4872573,-76.5870774
3,https://www.fincaraiz.com.co/casa-en-arriendo/191424582,casa,2,4,210.0,1300000,1 a 8 años,popayan,cauca,2.4853726,-76.577551
3,https://www.fincaraiz.com.co/habitacion-en-arriendo-popayan/7729717,habitacion,4,5,4.0,230000,,popayan,cauca,2.43552732467651,-76.6101913452148
4,https://www.fincaraiz.com.co/casa-en-arriendo/191332695,casa,3,3,125.0,1530000,,popayan,cauca,2.4448143,-76.6147395
4,https://www.fincaraiz.com.co/casa-en-arriendo/191198560,casa,2,3,105.0,1400000,9 a 15 años,popayan,cauca,2.4951544,-76.5666931
4,https://www.fincaraiz.com.co/oficina-en-arriendo/191234850,oficina,1,,23.0,700000,16 a 30 años,popayan,cauca,2.4448872318808,-76.605934831877
3,https://www.fincaraiz.com.co/casa-en-arriendo/10459962,casa,6,7,344.0,3100000,16 a 30 años,popayan,cauca,2.4763666929026,-76.577512608238
3,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191193240,apartaestudio,1,1,30.0,600000,9 a 15 años,popayan,cauca,2.4440678,-76.6096921
2,https://www.fincaraiz.com.co/apartamento-en-arriendo/10908028,apartamento,2,2,51.0,690000,1 a 8 años,popayan,cauca,2.4815066904988,-76.562279015779
4,https://www.fincaraiz.com.co/local-en-arriendo/7720996,local,1,1,90.0,2300000,9 a 15 años,popayan,cauca,2.44197201728821,-76.613166809082
2,https://www.fincaraiz.com.co/casa-en-arriendo/191268147,casa,1,2,75.0,500000,,popayan,cauca,2.4478370744367,-76.584902606918
4,https://www.fincaraiz.com.co/local-en-arriendo/10906855,local,,1,4.0,400000,16 a 30 años,popayan,cauca,2.4378748658386,-76.6063141822815
3,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191289897,apartaestudio,1,1,32.0,510000,1 a 8 años,popayan,cauca,2.4753686607765,-76.559743486359
4,https://www.fincaraiz.com.co/habitacion-en-arriendo/191336152,habitacion,1,,18.0,450000,menor a 1 año,popayan,cauca,2.450524113538,-76.589375084517
4,https://www.fincaraiz.com.co/casa-en-arriendo/191076273,casa,4,5,220.0,3500000,16 a 30 años,popayan,cauca,2.442199,-76.6095552
5,https://www.fincaraiz.com.co/local-en-arriendo-popayan/7850850,local,1,1,22.0,1200000,9 a 15 años,popayan,cauca,2.4437460899353,-76.6032867431641
4,https://www.fincaraiz.com.co/casa-en-arriendo/10832141,casa,4,4,150.0,1400000,9 a 15 años,popayan,cauca,2.45194170577765,-76.6024429389088
5,https://www.fincaraiz.com.co/habitacion-en-arriendo/191093058,habitacion,6,,1000.0,370000,9 a 15 años,popayan,cauca,2.4450391286691,-76.601217977385
2,https://www.fincaraiz.com.co/local-en-arriendo/191061920,local,1,,10.0,110000,1 a 8 años,popayan,cauca,2.4880622498607,-76.575677309909
3,https://www.fincaraiz.com.co/habitacion-en-arriendo/10506787,habitacion,,,95.0,400000,1 a 8 años,popayan,cauca,2.48838049962817,-76.577981678664
6,https://www.fincaraiz.com.co/local-en-arriendo-popayan/7759910,local,2,1,27.0,3155000,menor a 1 año,popayan,cauca,2.4551856901711,-76.5996865317934
5,https://www.fincaraiz.com.co/habitacion-en-arriendo/191186611,habitacion,6,,1000.0,350000,16 a 30 años,popayan,cauca,2.4448555895434,-76.601618886508
1,https://www.fincaraiz.com.co/habitacion-en-arriendo/191394883,habitacion,1,,36.0,280000,1 a 8 años,popayan,cauca,2.4448143,-76.6147395
5,https://www.fincaraiz.com.co/local-en-arriendo/191244630,local,1,,32.0,2100000,menor a 1 año,popayan,cauca,2.4561791541589,-76.599320439287
2,https://www.fincaraiz.com.co/casa-lote-en-arriendo/191198009,casa_lote,2,4,66.0,1000000,,popayan,cauca,2.4357408209455,-76.608483594739
2,https://www.fincaraiz.com.co/casa-lote-en-arriendo/10946702,casa,4,5,245.0,1500000,9 a 15 años,popayan,cauca,2.49036539342427,-76.5855216178074
1,https://www.fincaraiz.com.co/habitacion-en-arriendo/191377283,habitacion,2,,160.0,390000,9 a 15 años,popayan,cauca,2.4377616,-76.6074515
2,https://www.fincaraiz.com.co/local-en-arriendo/10981727,local,1,1,5.0,80000,1 a 8 años,popayan,cauca,2.48838504116321,-76.5756147017423
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191196378,apartamento,1,2,85.0,750000,1 a 8 años,popayan,cauca,2.4448923,-76.6133751
6,https://www.fincaraiz.com.co/apartamento-en-arriendo/191218162,apartamento,2,3,80.0,1500000,menor a 1 año,popayan,cauca,2.4684903,-76.5912955
5,https://www.fincaraiz.com.co/casa-en-arriendo/10212995,casa,4,4,156.0,2000000,9 a 15 años,popayan,cauca,2.49191746059186,-76.5577211378695
3,https://www.fincaraiz.com.co/casa-en-arriendo/191243748,casa,3,4,117.0,1185000,9 a 15 años,popayan,cauca,2.4758245,-76.5695292
4,https://www.fincaraiz.com.co/local-en-arriendo/10971966,local,1,1,27.0,1000000,más de 30 años,popayan,cauca,2.43976052473061,-76.6070688131249
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191408675,apartamento,1,2,56.0,970000,1 a 8 años,popayan,cauca,2.459386,-76.5937826
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191304090,apartamento,2,3,120.0,1300000,1 a 8 años,popayan,cauca,2.4554422161189,-76.590138278915
4,https://www.fincaraiz.com.co/oficina-en-arriendo/191416166,oficina,1,,30.0,1300000,1 a 8 años,popayan,cauca,2.4425152,-76.6068219
5,https://www.fincaraiz.com.co/oficina-en-arriendo/10951340,oficina,1,1,90.0,2895000,1 a 8 años,popayan,cauca,2.45846910324678,-76.5940246758993
4,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191243016,apartaestudio,1,1,20.0,580000,9 a 15 años,popayan,cauca,2.443198,-76.6089037
4,https://www.fincaraiz.com.co/local-en-arriendo/191234829,local,2,,200.0,7500000,menor a 1 año,popayan,cauca,2.4510747,-76.6038636
4,https://www.fincaraiz.com.co/local-en-arriendo/10215087,local,1,1,34.0,1300000,1 a 8 años,popayan,cauca,2.4689982,-76.5785366
