estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
3,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-br-la-fachada-armenia-3062388,casa,1,3,56.0,1400000,24,armenia,quindío,4.5194107366288,-75.713699030133
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-buenos-aires-alto-armenia-3106507,apartamento,2,2,73.0,2200252,1,armenia,quindío,4.537297013547,-75.66396221374
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-armenia-armenia-3062329,local,0,0,31.0,2500000,2023,armenia,quindío,4.53598,-75.680787
4,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-sector-centro-armenia-2995390,casa,2,3,80.0,1200000,38,armenia,quindío,4.5350004,-75.6756888
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-armenia-armenia-2989530,apartamento,2,3,60.0,980000,2019,armenia,quindío,4.53598,-75.680787
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-rincon-santo-armenia-2989504,apartamento,1,2,53.0,950000,6,armenia,quindío,4.52972094,-75.67359941
5,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-la-campina-armenia-2553933,oficina,0,0,450.0,7000000,123,armenia,quindío,4.5537733,-75.6576386
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-los-laureles-armenia-2716350,local,2,0,238.0,15000000,4,armenia,quindío,4.559689338940187,-75.65480634040539
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-2742124,casa_campestre,6,6,420.0,7000000,0,armenia,quindío,4.512889298131225,-75.72001080098283
,https://www.ciencuadras.com//inmueble/local-comercial-en-arriendo-en-a-s-d--armenia-2800612,local_comercial,0,0,0,8100000,0,armenia,quindío,4.557291203981895,-75.66100377948749
6,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-sector-centro-armenia-2916364,local,0,0,556.0,25000000,1,armenia,quindío,4.5341321,-75.67571
3,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-sector-centro-armenia-3101892,apartaestudio,1,1,50.0,500000,5,armenia,quindío,4.558689229,-75.654393179
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-a-s-d--armenia-2918755,apartamento,2,3,85.68,2612300,1,armenia,quindío,4.56745173,-75.64818562
6,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-sector-centro-armenia-2918778,oficina,3,0,130.0,4000000,34,armenia,quindío,4.53266104,-75.67220417
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-cd-quintas-de-la-floresta-armenia-3100319,casa,3,3,155.0,2000000,14,armenia,quindío,4.5666617,-75.651132
1,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-ub-los-tulipanes-armenia-3055146,apartamento,2,3,60.0,2500000,5,armenia,quindío,4.558419,-75.660368
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-urbanizacion-quintas-de-san-julian-armenia-3003444,local,0,0,26.0,3300000,2,armenia,quindío,4.5611241,-75.6523306
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-gibraltar-armenia-3106270,apartamento,2,3,58.0,850000,8,armenia,quindío,4.537349843641122,-75.70150383758543
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-las-palmas-armenia-3105703,apartamento,2,3,81.0,2000000,2,armenia,quindío,4.566156660968497,-75.65350341686585
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-sector-fogata-armenia-3105437,casa,4,6,230.0,4350000,18,armenia,quindío,4.55495314,-75.65761434
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-sector-fogata-armenia-3105099,casa,4,5,350.0,5700000,18,armenia,quindío,4.553266063403313,-75.6565682238768
6,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-la-lorena-armenia-2375207,oficina,1,0,62.0,2550000,18,armenia,quindío,4.54915795,-75.66002515
4,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-cr-oro-negro-amanecer-armenia-2770172,apartaestudio,1,1,25.0,800000,6,armenia,quindío,4.5747565715815,-75.644114613533
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-2886388,apartamento,2,2,45.8,1100000,22,armenia,quindío,4.53219439,-75.67225293
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-2907676,casa_campestre,5,3,500.0,9461000,13,armenia,quindío,4.4685080457037,-75.72852909565
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-fundadores-armenia-2948192,local,0,0,13.0,1179000,24,armenia,quindío,4.54229413,-75.66343361
6,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-sector-centro-armenia-2952843,local,2,0,250.0,4500000,24,armenia,quindío,4.53396653,-75.67173264
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-fundadores-armenia-2955178,local,1,0,60.0,2100000,29,armenia,quindío,4.545599,-75.6610642
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-sector-centro-armenia-3060827,apartaestudio,1,1,31.0,1350000,3,armenia,quindío,4.5350004,-75.6756888
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-cr--altos-de-los-ocobos-armenia-3083390,apartaestudio,1,0,34.0,1615000,2,armenia,quindío,4.5671804,-75.6565182
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-cr-colina-de-la-castellana-armenia-2978055,apartamento,1,1,52.6,1900000,3,armenia,quindío,4.55030661,-75.65640819
6,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-cr-iberica-armenia-2971579,local,1,0,50.0,2900000,2,armenia,quindío,4.5353012016761,-75.66348492332
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-sector-fogata-armenia-2969629,apartaestudio,1,1,30.0,1777000,3,armenia,quindío,4.55363162,-75.65795282
5,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-la-lorena-armenia-2955214,oficina,1,0,80.0,4400000,14,armenia,quindío,4.54915795,-75.66002515
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-urbanizacion-coinca-armenia-3038281,apartamento,1,1,35.0,2100000,6,armenia,quindío,4.5588581739691,-75.655182955499
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-3035564,casa_campestre,4,2,140.0,3600000,1,armenia,quindío,4.4648178392447,-75.740851163864
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-cr--la-estancia-armenia-2998604,apartaestudio,1,1,39.0,2200000,2,armenia,quindío,4.5441432,-75.6576936
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-a-s-d--armenia-2674885,apartamento,2,3,98.0,2500000,13,armenia,quindío,4.57822591,-75.6446806
3,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-armenia-armenia-2909114,local,0,0,8.0,475000,2,armenia,quindío,4.53598,-75.680787
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-urbanizacion-coinca-armenia-2955182,apartaestudio,1,1,36.73,2000000,3,armenia,quindío,4.558899090909,-75.6549059109
